Id,Name,Eos Cat,Eos Cat Name,Category,Atr Product Group,Atr Product Group Name
,Not linked,CAT99,Not linked,,0,OTHER - Not linked
M1010,Shock absorbers,CAT02,Chassis,101,0,OTHER - Not linked
M1014,Suspension,CAT02,Chassis,101,"205,500",Shock absorbers/strut bearings
M1020,Brake pads,CAT01,Braking,102,"201,005",Brake pads/shoes
M1021,Brake discs,CAT01,Braking,102,"201,020",Brake discs/ drums
M1022,Brake Various,CAT01,Braking,102,0,OTHER - Not linked
M1023,Brake hydraulics,CAT01,Braking,102,"201,025",Brake hydraulics
M1024,Brake shoes & Linings,CAT01,Braking,102,0,OTHER - Not linked
M1025,Brake hoses,CAT01,Braking,102,"201,030",Brake parts
M1027,Brake calipers,CAT01,Braking,102,"201,030",Brake parts
M1029,Brake Cables,CAT01,Braking,102,0,OTHER - Not linked
M1030,Wheel bearings,CAT02,Chassis,103,0,OTHER - Not linked
M1031,Wheel Bearing Kits,CAT02,Chassis,103,0,OTHER - Not linked
M1032,Wheel Bearing Seals,CAT02,Chassis,103,0,OTHER - Not linked
M1033,Wheel Hubs,CAT02,Chassis,103,0,OTHER - Not linked
M1040,Exhaust system,CAT03,Engine,104,0,OTHER - Not linked
M1060,Tyres,CAT07,"Accessories, Perform",106,"350,000",Tyres
M1061,Tyre consumables,CAT07,"Accessories, Perform",106,0,OTHER - Not linked
M1070,Wheel rims,CAT07,"Accessories, Perform",107,0,OTHER - Not linked
M1071,Wheel bolts,CAT07,"Accessories, Perform",107,0,OTHER - Not linked
M1082,Cables,CAT01,Braking,102,0,OTHER - Not linked
M1121,Levers,CAT01,Braking,112,"600,060",Other revenues without mapping
M1131,Chains,CAT03,Engine,113,"600,060",Other revenues without mapping
M1132,Sprockets,CAT03,Engine,113,"600,060",Other revenues without mapping
M1316,Air Suspension Add-ons,CAT02,Chassis,101,0,OTHER - Not linked
M1320,Brake Caliper Accessories,CAT01,Braking,102,0,OTHER - Not linked
M1321,Brake Disc Accessories,CAT01,Braking,102,0,OTHER - Not linked
M1322,Brake Drum Accessories,CAT01,Braking,102,0,OTHER - Not linked
M1323,Brake shoes & Lining Accessories,CAT01,Braking,102,0,OTHER - Not linked
M1324,Brake pads accessories,CAT01,Braking,102,0,OTHER - Not linked
M1325,Brake Discs & Pads Kits,CAT01,Braking,102,0,OTHER - Not linked
M1326,Brake Cylinders,CAT01,Braking,102,0,OTHER - Not linked
M1328,Brake booster & Master Cylinder,CAT01,Braking,102,0,OTHER - Not linked
M1410,Suspension Kits,CAT02,Chassis,111,0,OTHER - Not linked
M1416,Motorcycle steering parts,CAT02,Chassis,111,0,OTHER - Not linked
M2010,Clutch kits,CAT03,Engine,201,"204,000",Clutches
M2011,Clutch parts,CAT03,Engine,201,0,OTHER - Not linked
M2020,Belts,CAT03,Engine,202,0,OTHER - Not linked
M2021,Single tensioners and pulleys,CAT03,Engine,202,0,OTHER - Not linked
M2023,Chains,CAT03,Engine,202,0,OTHER - Not linked
M2030,Engine air filters,CAT06,Filtration & Lubrican,203,"203,500",Motor vehicle filters
M2032,Fuel filters,CAT06,Filtration & Lubrican,203,0,OTHER - Not linked
M2033,Oil filters,CAT06,Filtration & Lubrican,203,0,OTHER - Not linked
M2034,Transmission and other filters,CAT06,Filtration & Lubrican,203,0,OTHER - Not linked
M2050,Water pumps,CAT03,Engine,205,"206,010",Water pumps
M2051,Thermostats,CAT05,Electrics & Electron,205,"206,015",Thermostates
